TrialID,SubjID,block,btrial,tord,RT,Selection
826,7,16,1,106,7401,1
827,7,16,2,107,4156,1
828,7,16,3,108,2704,1
829,7,16,4,109,2784,1
830,7,16,5,110,4496,1
831,7,9,1,111,4266,0
832,7,9,2,112,5227,1
833,7,9,3,113,2945,0
834,7,9,4,114,2123,0
835,7,9,5,115,7791,1
836,7,23,1,116,5387,1
837,7,23,2,117,9033,0
838,7,23,3,118,1512,0
839,7,23,4,119,1953,0
840,7,23,5,120,4506,0
841,8,20,1,1,6720,0
842,8,20,2,2,3915,0
843,8,20,3,3,6169,0
844,8,20,4,4,4397,0
845,8,20,5,5,5227,1
846,8,19,1,6,6489,1
847,8,19,2,7,8442,0
848,8,19,3,8,3015,0
849,8,19,4,9,5107,0
850,8,19,5,10,5097,0
851,8,6,1,11,4216,0
852,8,6,2,12,3184,1
853,8,6,3,13,2673,1
854,8,6,4,14,2984,1
855,8,6,5,15,6319,0
856,8,8,1,16,6449,1
857,8,8,2,17,3606,0
858,8,8,3,18,1873,1
859,8,8,4,19,2053,1
860,8,8,5,20,9494,1
861,8,12,1,21,5368,1
862,8,12,2,22,4086,1
863,8,12,3,23,1802,1
864,8,12,4,24,2263,1
865,8,12,5,25,7150,0
866,8,14,1,26,5348,0
867,8,14,2,27,4797,0
868,8,14,3,28,2664,0
869,8,14,4,29,3745,0
870,8,14,5,30,4396,0
871,8,2,1,31,6239,1
872,8,2,2,32,4296,0
873,8,2,3,33,2905,0
874,8,2,4,34,2123,0
875,8,2,5,35,7521,1
876,8,11,1,36,5308,1
877,8,11,2,37,10676,0
878,8,11,3,38,3585,1
879,8,11,4,39,3305,1
880,8,11,5,40,8793,0
881,8,23,1,41,4016,1
882,8,23,2,42,7311,0
883,8,23,3,43,1963,0
884,8,23,4,44,2163,0
885,8,23,5,45,3756,0
886,8,21,1,46,14811,0
887,8,21,2,47,7251,1
888,8,21,3,48,1572,1
889,8,21,4,49,4496,0
890,8,21,5,50,4316,1
891,8,10,1,51,4727,0
892,8,10,2,52,3815,0
893,8,10,3,53,1843,1
894,8,10,4,54,3254,1
895,8,10,5,55,9284,0
896,8,24,1,56,7691,0
897,8,24,2,57,3234,0
898,8,24,3,58,1282,0
899,8,24,4,59,3865,0
900,8,24,5,60,3766,1
901,8,15,1,61,6860,1
902,8,15,2,62,3195,1
903,8,15,3,63,1322,0
904,8,15,4,64,1863,0
905,8,15,5,65,3545,0
906,8,17,1,66,3726,0
907,8,17,2,67,4156,1
908,8,17,3,68,2073,1
909,8,17,4,69,1773,1
910,8,17,5,70,2234,0
911,8,4,1,71,6609,0
912,8,4,2,72,6980,0
913,8,4,3,73,1783,1
914,8,4,4,74,2124,0
915,8,4,5,75,6329,1
916,8,16,1,76,6859,0
917,8,16,2,77,4346,1
918,8,16,3,78,1662,1
919,8,16,4,79,2774,1
920,8,16,5,80,3636,1
921,8,13,1,81,4747,1
922,8,13,2,82,5568,1
